mode,max_memory_mb,query_id,query,iteration,time_millis,memory_usage_bytes,disk_usage_bytes,total_entries,disk_evictions
Liquid,256,0,SELECT COUNT(*) FROM hits,0,3,0,0,0,0
Liquid,256,0,SELECT COUNT(*) FROM hits,1,0,0,0,0,0
Liquid,256,0,SELECT COUNT(*) FROM hits,2,0,0,0,0,0
Liquid,256,1,"SELECT COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0",0,59,190007064,0,11540,0
Liquid,256,1,"SELECT COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0",1,14,190007064,0,11540,0
Liquid,256,1,"SELECT COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0",2,12,190007064,0,11540,0
Liquid,256,2,"SELECT SUM(""AdvEngineID""), COUNT(*), AVG(""ResolutionWidth"") FROM hits",0,103,268337852,0,24436,0
Liquid,256,2,"SELECT SUM(""AdvEngineID""), COUNT(*), AVG(""ResolutionWidth"") FROM hits",1,23,268337852,0,24436,0
Liquid,256,2,"SELECT SUM(""AdvEngineID""), COUNT(*), AVG(""ResolutionWidth"") FROM hits",2,23,268337852,0,24436,0
Liquid,256,3,"SELECT AVG(""UserID"") FROM hits",0,41211,268375034,646236248,36654,0
Liquid,256,3,"SELECT AVG(""UserID"") FROM hits",1,2757,268375034,646236248,36654,0
Liquid,256,3,"SELECT AVG(""UserID"") FROM hits",2,3741,268375034,646236248,36654,0
Liquid,256,4,"SELECT COUNT(DISTINCT ""UserID"") FROM hits",0,3942,268375034,646236248,36654,0
Liquid,256,4,"SELECT COUNT(DISTINCT ""UserID"") FROM hits",1,3758,268375034,646236248,36654,0
Liquid,256,4,"SELECT COUNT(DISTINCT ""UserID"") FROM hits",2,3738,268375034,646236248,36654,0
Liquid,256,5,"SELECT COUNT(DISTINCT ""SearchPhrase"") FROM hits",0,17875,268152431,1200195992,48872,0
Liquid,256,5,"SELECT COUNT(DISTINCT ""SearchPhrase"") FROM hits",1,1496,268152431,1200195992,48872,0
Liquid,256,5,"SELECT COUNT(DISTINCT ""SearchPhrase"") FROM hits",2,2270,268152431,1200195992,48872,0
Liquid,256,6,"SELECT MIN(""EventDate""::INT::DATE), MAX(""EventDate""::INT::DATE) FROM hits",0,583,268397225,1218537136,60730,0
Liquid,256,6,"SELECT MIN(""EventDate""::INT::DATE), MAX(""EventDate""::INT::DATE) FROM hits",1,28,268397225,1218537136,60730,0
Liquid,256,6,"SELECT MIN(""EventDate""::INT::DATE), MAX(""EventDate""::INT::DATE) FROM hits",2,24,268397225,1218537136,60730,0
Liquid,256,7,"SELECT ""AdvEngineID"", COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0 GROUP BY ""AdvE",0,4808,268397225,1218537136,60730,0
Liquid,256,7,"SELECT ""AdvEngineID"", COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0 GROUP BY ""AdvE",1,5799,268397225,1218537136,60730,0
Liquid,256,7,"SELECT ""AdvEngineID"", COUNT(*) FROM hits WHERE ""AdvEngineID"" <> 0 GROUP BY ""AdvE",2,5789,268397225,1218537136,60730,0
Liquid,256,8,"SELECT ""RegionID"", COUNT(DISTINCT ""UserID"") AS u FROM hits GROUP BY ""RegionID"" O",0,8217,268339820,1429108432,72948,0
Liquid,256,8,"SELECT ""RegionID"", COUNT(DISTINCT ""UserID"") AS u FROM hits GROUP BY ""RegionID"" O",1,5390,268339820,1429108432,72948,0
Liquid,256,8,"SELECT ""RegionID"", COUNT(DISTINCT ""UserID"") AS u FROM hits GROUP BY ""RegionID"" O",2,5872,268339820,1429108432,72948,0
Liquid,256,9,"SELECT ""RegionID"", SUM(""AdvEngineID""), COUNT(*) AS c, AVG(""ResolutionWidth""), CO",0,10261,268339820,1429108432,72948,0
Liquid,256,9,"SELECT ""RegionID"", SUM(""AdvEngineID""), COUNT(*) AS c, AVG(""ResolutionWidth""), CO",1,10937,268339820,1429108432,72948,0
Liquid,256,9,"SELECT ""RegionID"", SUM(""AdvEngineID""), COUNT(*) AS c, AVG(""ResolutionWidth""), CO",2,10939,268339820,1429108432,72948,0
