mode,max_memory_mb,query_id,query,iteration,time_millis,memory_usage_bytes,disk_usage_bytes,total_entries,disk_evictions
DataFusionDefault,,14,"SELECT ""SearchEngineID"", ""SearchPhrase"", COUNT(*) AS c FROM hits WHERE ""SearchPh",0,708,,,,
DataFusionDefault,,14,"SELECT ""SearchEngineID"", ""SearchPhrase"", COUNT(*) AS c FROM hits WHERE ""SearchPh",1,761,,,,
DataFusionDefault,,14,"SELECT ""SearchEngineID"", ""SearchPhrase"", COUNT(*) AS c FROM hits WHERE ""SearchPh",2,718,,,,
DataFusionDefault,,15,"SELECT ""UserID"", COUNT(*) FROM hits GROUP BY ""UserID"" ORDER BY COUNT(*) DESC LIM",0,770,,,,
DataFusionDefault,,15,"SELECT ""UserID"", COUNT(*) FROM hits GROUP BY ""UserID"" ORDER BY COUNT(*) DESC LIM",1,704,,,,
DataFusionDefault,,15,"SELECT ""UserID"", COUNT(*) FROM hits GROUP BY ""UserID"" ORDER BY COUNT(*) DESC LIM",2,763,,,,
DataFusionDefault,,16,"SELECT ""UserID"", ""SearchPhrase"", COUNT(*) FROM hits GROUP BY ""UserID"", ""SearchPh",0,1521,,,,
DataFusionDefault,,16,"SELECT ""UserID"", ""SearchPhrase"", COUNT(*) FROM hits GROUP BY ""UserID"", ""SearchPh",1,1503,,,,
DataFusionDefault,,16,"SELECT ""UserID"", ""SearchPhrase"", COUNT(*) FROM hits GROUP BY ""UserID"", ""SearchPh",2,1497,,,,
DataFusionDefault,,17,"SELECT ""UserID"", ""SearchPhrase"", COUNT(*) FROM hits GROUP BY ""UserID"", ""SearchPh",0,1499,,,,
DataFusionDefault,,17,"SELECT ""UserID"", ""SearchPhrase"", COUNT(*) FROM hits GROUP BY ""UserID"", ""SearchPh",1,1479,,,,
DataFusionDefault,,17,"SELECT ""UserID"", ""SearchPhrase"", COUNT(*) FROM hits GROUP BY ""UserID"", ""SearchPh",2,1493,,,,
DataFusionDefault,,18,"SELECT ""UserID"", extract(minute FROM to_timestamp_seconds(""EventTime"")) AS m, ""S",0,3431,,,,
DataFusionDefault,,18,"SELECT ""UserID"", extract(minute FROM to_timestamp_seconds(""EventTime"")) AS m, ""S",1,3144,,,,
DataFusionDefault,,18,"SELECT ""UserID"", extract(minute FROM to_timestamp_seconds(""EventTime"")) AS m, ""S",2,3070,,,,
DataFusionDefault,,19,"SELECT ""UserID"" FROM hits WHERE ""UserID"" = 435090932899640449",0,73,,,,
DataFusionDefault,,19,"SELECT ""UserID"" FROM hits WHERE ""UserID"" = 435090932899640449",1,109,,,,
DataFusionDefault,,19,"SELECT ""UserID"" FROM hits WHERE ""UserID"" = 435090932899640449",2,69,,,,
DataFusionDefault,,20,"SELECT COUNT(*) FROM hits WHERE ""URL"" LIKE '%google%'",0,1779,,,,
DataFusionDefault,,20,"SELECT COUNT(*) FROM hits WHERE ""URL"" LIKE '%google%'",1,1019,,,,
DataFusionDefault,,20,"SELECT COUNT(*) FROM hits WHERE ""URL"" LIKE '%google%'",2,1049,,,,
DataFusionDefault,,21,"SELECT ""SearchPhrase"", MIN(""URL""), COUNT(*) AS c FROM hits WHERE ""URL"" LIKE '%go",0,1270,,,,
DataFusionDefault,,21,"SELECT ""SearchPhrase"", MIN(""URL""), COUNT(*) AS c FROM hits WHERE ""URL"" LIKE '%go",1,1335,,,,
DataFusionDefault,,21,"SELECT ""SearchPhrase"", MIN(""URL""), COUNT(*) AS c FROM hits WHERE ""URL"" LIKE '%go",2,1312,,,,
DataFusionDefault,,22,"SELECT ""SearchPhrase"", MIN(""URL""), MIN(""Title""), COUNT(*) AS c, COUNT(DISTINCT """,0,3034,,,,
DataFusionDefault,,22,"SELECT ""SearchPhrase"", MIN(""URL""), MIN(""Title""), COUNT(*) AS c, COUNT(DISTINCT """,1,3058,,,,
DataFusionDefault,,22,"SELECT ""SearchPhrase"", MIN(""URL""), MIN(""Title""), COUNT(*) AS c, COUNT(DISTINCT """,2,3060,,,,
DataFusionDefault,,23,"SELECT * FROM hits WHERE ""URL"" LIKE '%google%' ORDER BY to_timestamp_seconds(""Ev",0,30912,,,,
DataFusionDefault,,23,"SELECT * FROM hits WHERE ""URL"" LIKE '%google%' ORDER BY to_timestamp_seconds(""Ev",1,9692,,,,
DataFusionDefault,,23,"SELECT * FROM hits WHERE ""URL"" LIKE '%google%' ORDER BY to_timestamp_seconds(""Ev",2,9689,,,,
DataFusionDefault,,24,"SELECT ""SearchPhrase"" FROM hits WHERE ""SearchPhrase"" <> '' ORDER BY to_timestamp",0,420,,,,
DataFusionDefault,,24,"SELECT ""SearchPhrase"" FROM hits WHERE ""SearchPhrase"" <> '' ORDER BY to_timestamp",1,414,,,,
DataFusionDefault,,24,"SELECT ""SearchPhrase"" FROM hits WHERE ""SearchPhrase"" <> '' ORDER BY to_timestamp",2,411,,,,
DataFusionDefault,,25,"SELECT ""SearchPhrase"" FROM hits WHERE ""SearchPhrase"" <> '' ORDER BY ""SearchPhras",0,314,,,,
DataFusionDefault,,25,"SELECT ""SearchPhrase"" FROM hits WHERE ""SearchPhrase"" <> '' ORDER BY ""SearchPhras",1,304,,,,
